FATAL  | wrapper  | 2017/04/01 15:49:34 | OpenSCManager failed - Access is denied. (0x5)
FATAL  | wrapper  | 2017/04/01 15:50:26 | OpenSCManager failed - Access is denied. (0x5)
STATUS | wrapper  | 2017/04/01 16:16:50 | Apache James :: Server :: App installed.
STATUS | wrapper  | 2017/04/01 16:16:54 | Starting the Apache James :: Server :: App service...
STATUS | wrapper  | 2017/04/01 16:16:54 | --> Wrapper Started as Service
STATUS | wrapper  | 2017/04/01 16:16:55 | Launching a JVM...
INFO   | wrapper  | 2017/04/01 16:16:59 | Waiting to start...
INFO   | wrapper  | 2017/04/01 16:17:04 | Waiting to start...
INFO   | wrapper  | 2017/04/01 16:17:09 | Waiting to start...
INFO   | wrapper  | 2017/04/01 16:17:15 | Waiting to start...
INFO   | jvm 1    | 2017/04/01 16:17:17 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/04/01 16:17:17 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/04/01 16:17:17 | 
INFO   | jvm 1    | 2017/04/01 16:17:18 | INFO  16:17:18,956 | org.apache.james.container.spring.context.JamesServerApplicationContext | Refreshing org.apache.james.container.spring.context.JamesServerApplicationContext@2a14d8c8: startup date [Sat Apr 01 16:17:18 IST 2017]; root of context hierarchy
INFO   | wrapper  | 2017/04/01 16:17:20 | Waiting to start...
STATUS | wrapper  | 2017/04/01 16:17:22 | Apache James :: Server :: App started.
INFO   | jvm 1    | 2017/04/01 16:17:26 | log4j:WARN No appenders could be found for logger (org.apache.commons.configuration.ConfigurationUtils).
INFO   | jvm 1    | 2017/04/01 16:17:26 | log4j:WARN Please initialize the log4j system properly.
INFO   | jvm 1    | 2017/04/01 16:17:26 | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
INFO   | jvm 1    | 2017/04/01 16:17:26 | WARN  16:17:26,401 | org.apache.james.container.spring.context.JamesServerApplicationContext | Exception encountered during context initialization - cancelling refresh attempt
INFO   | jvm 1    | 2017/04/01 16:17:26 | org.springframework.beans.FatalBeanException: Unable to config the indexer; nested exception is org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.apache.james.container.spring.bean.factorypostprocessor.IndexerConfigurationBeanFactoryPostProcessor.postProcessBeanFactory(IndexerConfigurationBeanFactoryPostProcessor.java:67)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:696)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:686)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:461)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:139)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:93)
INFO   | jvm 1    | 2017/04/01 16:17:26 | 	at org.apache.james.container.spring.context.JamesServerApplicationContext.<init>(JamesServerApplicationContext.java:40)
